fdc_id,description,energy_kcal,protein_g,fat_g,carbohydrate_g,caffeine_mg,sugars_g,vitamin_A_ug,thiamin_mg,riboflavin_mg,niacin_mg,pantothenic_acid_mg,vitamin_B6_mg,vitamin_B12_ug,biotin_ug,vitamin_C_mg,choline_mg,vitamin_D_ug,vitamin_E_mg,folic_acid_ug,vitamin_K_ug,calcium_mg,chromium_ug,copper_mg,fluoride_ug,iodine_ug,iron_mg,magnesium_mg,manganese_mg,molybdenum_ug,phosphorus_mg,potassium_mg,selenium_ug,sodium_mg,sulfur_mg,zinc_mg
324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",288.0,4.52,14.4,36.3,,4.5,,0.196,0.11599999999999999,1.57,0.302,0.127,,,1.6,10.7,,0.57,,,28.0,,0.081,,,1.14,20.4,0.435,,75.0,135.0,5.6,374.0,,0.59
323505,"Kale, raw",35.0,2.92,1.49,4.42,,0.8,241.0,0.113,0.34700000000000003,1.18,0.37,0.147,,,93.4,,,0.66,,390.0,254.0,,0.053,,,1.6,32.7,0.92,,55.0,348.0,,53.0,,0.39
323604,"Egg, whole, raw, frozen, pasteurized",150.0,12.3,10.3,0.91,,,,,,,,,,,,,2.3,,,,55.0,,0.0,,61.6,1.77,11.2,0.0,,189.0,117.0,,121.0,,1.2
323697,"Egg, white, raw, frozen, pasteurized",48.0,10.1,0.16,0.74,,,,,,,,,,,,,0.0,,,,9.0,,0.0,,0.0,0.18,10.6,0.0,,0.0,130.0,,144.0,,0.02
323793,"Egg, white, dried",376.0,79.9,0.65,6.02,,,,,,,,,,,,,0.0,,,,104.0,,0.0,,34.0,0.0,87.6,0.0,,107.0,959.0,,1250.0,,0.43
328841,"Cheese, cottage, lowfat, 2% milkfat",84.0,11.0,2.3,4.31,,4.1,69.0,0.02,0.23399999999999999,0.09,0.508,0.057,0.42,,,,,0.08,,,103.0,,0.03,,,0.13,8.9,0.015,,148.0,120.0,14.6,321.0,,0.61
329370,"Cheese, mozzarella, low moisture, part-skim",298.0,23.7,20.4,4.44,,1.81,203.0,0.023,0.36,0.10099999999999999,0.415,0.09,1.65,,,13.5,,0.51,,1.3,693.0,,0.035,,,0.2,27.2,0.035,,533.0,116.0,26.7,699.0,,3.62
334536,"Restaurant, Chinese, fried rice, without meat",174.0,3.84,3.19,32.5,,0.62,22.0,,,,,,,,,5.5,0.0,,,,11.0,,0.086,,,0.46,9.7,0.428,,44.0,69.0,,361.0,,0.69
334628,"Restaurant, Latino, tamale, pork",174.0,7.38,9.04,15.8,,0.46,12.0,0.04,0.05,1.29,0.365,0.132,0.12,,,,,0.53,,5.1,75.0,,0.05,,,0.87,26.2,0.18600000000000003,,120.0,152.0,9.8,473.0,,1.2
334720,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",229.0,5.59,9.01,31.5,,1.3,,0.077,0.03,0.867,0.303,0.172,,,,39.6,,0.36,,7.4,51.0,,0.141,,,1.46,53.6,0.344,,144.0,305.0,7.0,305.0,,0.94
335240,"Bread, whole-wheat, commercially prepared",254.0,12.3,3.55,43.1,,4.41,,0.391,0.166,4.43,0.65,0.21600000000000003,,,,27.2,,2.82,,,163.0,,0.226,,,2.56,76.6,2.18,,212.0,250.0,25.8,450.0,,1.76
334194,"Fish, tuna, light, canned in water, drained solids",90.0,19.0,0.94,0.08,,0.0,,0.03,0.08199999999999999,9.92,0.14800000000000002,0.32,2.57,,,,1.2,,,,18.0,,0.048,,0.0,1.67,22.7,0.019,,137.0,176.0,67.8,219.0,,0.66
333476,"Fish, pollock, raw",56.0,12.3,0.41,0.0,,,3.0,0.03,0.08,0.653,0.237,0.069,1.63,,0.0,,0.2,0.49,,0.0,15.0,,0.031,,,0.22,16.1,0.011000000000000001,,284.0,160.0,15.9,333.0,,0.31
