b,g,e,p,f,d,c,n
American Italian Pasta Company,049600903632,357.0,12.5,1.79,3.6,73.21,"ANTHONY'S, POT-SIZED SPAGHETTI"
Interamerican Foods Corporation,029243000196,375.0,10.71,1.79,3.6,78.57,"LA MODERNA, SPAGHETTI PASTA"
American Italian Pasta Company,049600700330,357.0,12.5,1.79,3.6,73.21,"ANTHONY'S, ROTELLI PASTA"
American Italian Pasta Company,049600700309,357.0,12.5,1.79,3.6,73.21,"LARGE SEA SHELLS, ENRICHED MACARONI PRODUCT"
"Unified Grocers, Inc.",041380193043,357.0,12.5,1.79,3.6,73.21,"ENRICHED MACARONI PRODUCT, FETTUCCINE"
"Unified Grocers, Inc.",041380193029,357.0,12.5,1.79,3.6,73.21,"LINGUINE, ENRICHED MACARONI PRODUCT"
"Unified Grocers, Inc.",041380186007,357.0,12.5,1.79,3.6,73.21,"ENRICHED MACARONI PRODUCT, SMALL ELBOW MACARONI"
Interamerican Foods Corporation,029243000202,377.0,11.32,1.89,3.8,77.36,"LA MODERNA, ELBOWS, MACARONI PRODUCT"
American Italian Pasta Company,049600000041,357.0,12.5,1.79,3.6,73.21,"ANTHONY'S, ESTRELLITAS STARS"
American Italian Pasta Company,049600000034,357.0,12.5,1.79,3.6,73.21,"ANTHONY'S, ALPHABETS, ENRICHED MACARONI PRODUCT"
American Italian Pasta Company,049600000133,357.0,12.5,1.79,3.6,73.21,"ANTHONY'S, SMALL SEA SHELLS, ENRICHED MACARONI PRODUCT"
"Unified Grocers, Inc.",041380193012,357.0,12.5,1.79,3.6,73.21,"ENRICHED MACARONI PRODUCT, THIN SPAGHETTI"
"Unified Grocers, Inc.",041380191100,357.0,12.5,1.79,3.6,73.21,"SPRINGFIELD, RAINBOW ROTINI PASTA"
American Italian Pasta Company,049600903557,393.0,14.29,5.36,3.6,71.43,"ANTHONY'S, EXTRA WIDE EGG NOODLES"
"Unified Grocers, Inc.",041380191056,357.0,12.5,1.79,3.6,73.21,"SPRINGFIELD, LASAGNA MACARONI PRODUCT"
"Unified Grocers, Inc.",041380191049,357.0,12.5,1.79,3.6,73.21,"ENRICHED MACARONI PRODUCT, SMALL SHELLS"
American Italian Pasta Company,049600700347,357.0,12.5,1.79,3.6,73.21,"ANTHONY'S, BOWTIES MONITOS"
American Italian Pasta Company,049600700361,357.0,12.5,1.79,3.6,73.21,"MOSTACCIOLI, ENRICHED MACARONI PRODUCT"
American Italian Pasta Company,049600000195,357.0,12.5,1.79,3.6,73.21,ELBOWS CODITOS
New World Pasta Company,026800006332,357.0,12.5,1.79,3.6,75.0,"AMERICAN BEAUTY, ENRICHED MACARONI PRODUCT, PENNE RIGATE"
American Italian Pasta Company,049600000188,357.0,12.5,1.79,3.6,73.21,"ANTHONY'S, SHORT (SALAD) MACARONI"
American Italian Pasta Company,049600000423,357.0,12.5,1.79,3.6,73.21,"ANTHONY'S, THIN SPAGHETTI"
American Italian Pasta Company,049600000294,321.0,10.71,1.79,3.6,64.29,"ANTHONY'S, COILED FIDEO, ENRICHED MACARONI PRODUCT"
American Italian Pasta Company,049600000287,357.0,12.5,1.79,3.6,73.21,"ANTHONY'S, CUT FIDEO"
Cadia,815369012263,464.0,3.57,21.43,3.6,67.86,"CADIA, ORGANIC CRUNCHY COOKIE BITES, CHOCOLATE CHIP"
"Udi's Healthy Foods, LLC",698997807285,257.0,8.0,10.86,1.1,33.14,CRISPY THIN CRUST THREE CHEESE PIZZA
"Redwood Hill Farm & Creamery, LLC",081312200630,82.0,3.53,2.94,0.0,11.18,"REDWOOD HILL FARM, GOAT MILK YOGURT, APRICOT MANGO"
EUROPEAN GOURMET BAKERY,058336150098,364.0,6.06,0.0,0.0,81.82,"EUROPEAN GOURMET BAKERY, FRENCH PATISSERIE TARTE LEMON CAKE MIX, LEMON"
EUROPEAN GOURMET BAKERY,058336150081,361.0,5.56,6.94,2.8,77.78,"EUROPEAN GOURMET BAKERY, TARTE CHOCOLATE CAKE MIX"
"Continental Mills, Inc.",041449108643,375.0,4.17,2.08,4.2,87.5,"KRUSTEAZ, SUGAR COOKIE MIX"
"Continental Mills, Inc.",041449302560,412.0,2.94,11.76,2.9,76.47,PREMIUM BROWNIE MIX
JULIE'S ORGANIC,072609031778,284.0,2.7,12.16,0.0,39.19,"JULIE'S ORGANIC, ORGANIC ICE CREAM SANDWHICH GINGER COOKIE, CARROT-CAKE"
Jagpreet Enterprises,767226025049,154.0,14.74,3.21,1.3,15.38,"SUKHI'S, CHICKEN CURRY, MEDIUM SPICED"
"United Natural Foods, Inc.",785030555569,212.0,7.08,1.77,2.7,41.59,RAVIOLI
Arctic Zero,852244003329,107.0,4.29,2.14,4.3,15.71,"ARCTIC ZERO, DARK CHOCOLATE CHIPS SPRINKLED IN REFRESHING MINT"
"The Hain Celestial Group, Inc.",084253284424,175.0,1.25,8.75,1.2,25.0,"ALMOND DREAM, NON-DAIRY DESSERT, STRAWBERRY"
Arctic Zero,852244003343,107.0,4.29,3.57,4.3,12.86,"ARCTIC ZERO, FROZEN DESSERTS, BUTTERY PECAN"
Friendly Ice Cream Corp.,029839006540,224.0,4.48,11.94,0.0,25.37,ICE CREAM
Friendly Ice Cream Corp.,029839005895,197.0,3.03,9.09,0.0,25.76,"FRIENDLY'S, RICH & CREAMY PREMIUM ICE CREAM, BLACK RASPBERRY"
Arctic Zero,852244003053,58.0,5.0,0.0,3.3,11.67,"ARCTIC ZERO, FROZEN DESSERT, SIMPLY STRAWBERRY"
Arctic Zero,852244003312,107.0,4.29,2.86,4.3,15.71,"ARCTIC ZERO, FIT FROZEN DESSERT, A LIL' BIT CHIPPY"
ARCTIC ZERO,852244003114,58.0,5.0,0.0,3.3,11.67,FIT FROZEN DESSERTS
Lipton,041000214882,322.0,3.39,18.64,1.7,37.29,MOUNDS ICE CREAM BARS
TOFUTTI,056483014416,240.0,2.86,11.43,1.4,31.43,"TOFUTTI, MILK FREE DESSERT BARS"
HP Hood LLC,044100193026,225.0,4.23,11.27,0.0,26.76,ICE CREAM
The Schwan Food Company,027700548793,268.0,2.36,11.02,1.6,40.16,"MRS.SMITH'S, MINCE CLASSIC PIE"
"Transfusion Beverages, Inc.",000450193031,239.0,4.23,15.49,1.4,22.54,"LACTAID, ICE CREAM, BUTTER PECAN"
Olympic Ice Cream Co.Inc.,073718000068,90.0,0.0,0.0,0.0,17.29,"MARINOS, FAT FREE ITALIAN ICES WITH REAL DUTCH COCOA, CHOCOLATE"
HP Hood LLC,044100193132,239.0,2.82,12.68,0.0,28.17,"LACTAID, ICE CREAM, COOKIES & CREAM"
"Key Food Stores Co-Operative, Inc.",073296685015,140.0,1.16,1.74,0.0,27.91,"KEY FOOD, RASPBERRY SHERBET"
"Wind & Willow, Inc.",609019240027,389.0,2.78,2.78,2.8,83.33,"WIND & WILLOW, WARM APPLE CRISP DESSERT MIX"
"Robert Rothschild Farms, LLC",011246194385,158.0,0.0,0.0,2.6,42.11,"ROBERT ROTHSCHILD FARM, GOURMET BLACKBERRY CHIPOTLE SAUCE"
"Wind & Willow, Inc.",609019240010,400.0,2.0,16.0,4.0,80.0,"WIND & WILLOW, TABLE FOR 2, CHOCOLATE LAVA CAKE DESSERT MIX"
"Key Food Stores Co-Operative, Inc.",073296313611,424.0,0.0,18.18,0.0,66.67,"FROSTING, CREAMY WHITE"
McKee Foods Corporation,024300012013,375.0,4.17,14.58,2.1,56.25,CREME FILLED DEVILS FOOD CAKES
McKee Foods Corporation,024300012020,406.0,4.35,13.04,1.4,66.67,"DRAKE'S, COFFEE CAKES WITH CINNAMON STREUSEL TOPPING"
"Tony Chachere's Creole Foods of Opelousas, Inc.",071998126072,333.0,0.0,0.0,0.0,66.67,CREOLE WHITE GRAVY MIX
McKee Foods Corporation,024300012082,424.0,4.55,24.24,1.5,48.48,"DRAKE'S, HONEYBUNS"
McKee Foods Corporation,024300012068,406.0,3.12,20.31,1.6,51.56,FRUIT PIES
"Key Food Stores Co-Operative, Inc.",073296078114,404.0,3.85,11.54,3.8,73.08,"KEY FOOD, DELUXE DEVIL'S FOOD CAKE MIX"
McKee Foods Corporation,024300012167,467.0,5.0,26.67,1.7,53.33,"DRAKE'S, FROSTED DONUTDELITES"
Pinnacle Foods Group LLC,644209410064,410.0,2.56,8.97,0.0,79.49,"DUNCAN HINES, SIGNATURE, MOIST CARAMEL CAKE MIX"
Diamond/Sunsweet Inc,070450032609,667.0,16.67,66.67,6.7,13.33,"DIAMOND OF CALIFORNIA, SALTED WALNUTS"
"Key Food Stores Co-Operative, Inc.",073296313628,394.0,0.0,18.18,3.0,60.61,"KEY FOOD, FROSTING, CREAMY FUDGE"
McKee Foods Corporation,024300012051,375.0,3.12,20.31,1.6,51.56,FRUIT PIES
McKee Foods Corporation,024300012037,439.0,2.44,21.95,2.4,58.54,FROSTED CREME FILLED DEVILS FOOD CAKES
Diamond/Sunsweet Inc,070450032302,667.0,16.67,66.67,6.7,13.33,"DIAMOND OF CALIFORNIA, SHELLED WALNUTS"
"La Cena Fine Foods, Ltd.",072728002048,91.0,3.03,0.0,6.1,21.21,"VICTORINA, TOMATO PASTE"
McKee Foods Corporation,024300012136,383.0,2.13,17.02,0.0,57.45,"DRAKE'S, MINI MUFFINS, BLUEBERRY"
ARTISAN BISTRO,851981002022,107.0,6.49,2.67,1.9,14.12,THAI STYLE RED CURRY WITH BEEF
"United Natural Foods, Inc.",042563001322,50.0,0.71,0.0,4.3,13.57,ORGANIC WILD BLUEBERRIES
"Boulder Brands USA, Inc.",891627009039,169.0,6.67,6.27,3.5,22.35,BEAN & CHEDDAR ENCHILADA BAKE
Whidbey Island Ice Cream LLC,856510001699,337.0,4.35,25.0,1.1,27.17,"WHIDBEY ISLAND ICE CREAM COMPANY, MUKILTEO ESPRESSO HOME MADE ICE CREAM BAR, CHOCOLATE"
CEDARLANE,038794994915,100.0,7.47,4.15,0.8,8.71,EGG WHITE OMELETTE
ARTISAN BISTRO,851981002008,92.0,6.11,2.29,1.5,12.21,THAI STYLE YELLOW CURRY WITH CHICKEN
"United Natural Foods, Inc.",042563017521,200.0,9.47,9.47,1.1,17.89,"NATURAL SEA, WILD ALASKA POLLACK BIG FISH STRIPS"
"Alanric Food Distributors, Inc.",070796903120,367.0,13.33,3.33,6.7,73.33,BREAD CRUMBS
TEMPO,041409000505,318.0,9.09,0.0,0.0,63.64,"TEMPO, HOME STYLE CHICKEN BAKE TOPPING, LEMON PEPPER"
TEMPO,041409000406,364.0,9.09,0.0,0.0,72.73,SEAFOOD BAKE
LOUISIANA,039156001630,350.0,5.0,2.5,5.0,75.0,BEER BATTER
"Key Food Stores Co-Operative, Inc.",073296054651,393.0,3.57,7.14,3.6,78.57,"KEY FOOD, HOT COCOA MIX"
"Key Food Stores Co-Operative, Inc.",073296054637,393.0,3.57,7.14,3.6,78.57,"KEY FOOD, HOT COCOA MIX WITH MARSHMALLOWS"
"Key Food Stores Co-Operative, Inc.",073296156744,348.0,34.78,0.0,0.0,52.17,"KEY FOOD, INSTANT NON FAT DRY MILK"
"Key Food Stores Co-Operative, Inc.",073296062649,375.0,12.5,6.25,6.2,62.5,"KEY FOOD, HOT COCOA MIX"
Steve Ross Enterprises,744335611097,145.0,6.67,4.06,2.5,21.45,"GLOBESPUN GOURMET, DANTE'S BURRITO"
"Essential Foods, Inc.",732328002038,151.0,6.73,2.24,5.4,28.85,"GLOBESPUN GOURMET, PICO DE GALLO"
"Sugar Mountain Capital, LLC",782045112930,154.0,6.61,9.69,0.9,9.69,"BEECHER'S, KALE AND BROWN RICE GRATIN"
Gilda Industries Inc.,071656002540,389.0,11.11,5.56,5.6,72.22,"GILDA, REGULAR BISCUTTES TOASTED BREAD"
Wonderful Dream Salve Corp.,7464088412019,382.0,7.14,7.14,0.0,75.0,"DULCERIA RODRIGUEZ, MILK FUDGE"
"Procesadora Vizcaya, C. Por A.",787302270705,229.0,1.82,0.0,0.0,56.36,"DELIFRUIT, CHERRY IN HEAVY SYRUP"
"Goya Foods, Inc.",041331062947,544.0,8.0,32.0,4.0,55.6,"ANTIUXIXONA, MILK CREAMY CHOCOLATE"
Gilda Industries Inc.,071656001659,400.0,13.33,13.33,6.7,66.67,"LA ESTRELLA, WHOLE WHEAT TOASTS"
Gilda Industries Inc.,071656002533,389.0,11.11,5.56,11.1,66.67,WHOLE WHEAT TOAST
"Goya Foods, Inc.",041331062930,580.0,8.0,44.0,12.0,40.0,"ANTIUXIXONA, 72% COCOA INTENSE DARK CHOCOLATE"
Lindt & Sprungli (Schweiz) AG,037466083322,595.0,7.14,40.48,2.4,50.0,"LINDT, PISTACHIO SWISS MILK CHOCOLATE"
Wonderful Dream Salve Corp.,7464088410275,375.0,10.71,10.71,0.0,60.71,CONCON OF MILK
Cyn-Chriss Imports Corp.,710164444038,193.0,0.91,0.0,3.6,49.09,"SOY DOMINICANO, PAPAYA SLICES IN HEAVY SYRUP"
Cadur Trading Corporation,075738100704,536.0,14.29,32.14,7.1,50.0,"TOPAL, SESAME SEEDS"
Lindt & Sprungli (Schweiz) AG,037466048987,500.0,5.0,30.0,7.5,57.5,"LINDT, EXCELLENCE, BLACK CURRANT DARK CHOCOLATE BAR"
Cyn-Chriss Imports Corp.,710164444014,193.0,0.0,0.0,3.6,49.09,"SOY DOMINICANO, CASHEW IN HEAVY SYRUP"
"Goya Foods, Inc.",041331062909,544.0,12.0,40.0,8.0,40.0,"ANTIUXIXONA, DARK WHITH ALMONDS CHOCOLATE"
PANCA,7465411500014,400.0,0.0,0.0,0.0,100.0,"PANCA, MENTAS FRESCAS CANDY"
Cadur Trading Corporation,075738100698,357.0,0.0,0.0,3.6,92.86,PASTA DE BATATA
"Procesadora Vizcaya, C. Por A.",787302100033,230.0,0.0,0.0,0.9,59.29,"DELIFRUIT, ORANGE SLICES IN HEAVY SYRUP"
Wonderful Dream Salve Corp.,7464088410237,382.0,3.57,7.14,0.0,78.57,"DULCERIA RODRIGUEZ, ORANGE WITH MILK"
DULCERIA PILOTO,7460004600065,267.0,6.67,0.0,0.0,60.0,"DULCERIA PILOTO, SWEET CREAM OF MILK WITH COCONUT"
Wonderful Dream Salve Corp.,7464088410336,368.0,4.64,7.14,0.0,78.57,"DULCERIA RODRIGUEZ, CASHEW WITH MILK"
"Godiva Chocolatier, Inc.",031290094080,650.0,10.0,52.5,12.5,35.0,"GADIVA, EXTRA DARK SANTO DOMINGO CHOCOLATE"
"Goya Foods, Inc.",041331062961,464.0,36.0,32.0,8.0,20.0,"ANTIUXIXONA, MILK CHOCOLATE"
WEIS QUALITY,041497418275,500.0,0.0,25.0,0.0,50.0,ORIGINAL COFFEE CREAMER
WEIS QUALITY,041497418305,500.0,0.0,0.0,0.0,100.0,ORIGINAL LITE COFFEE CREAMER
WEIS QUALITY,041497418244,500.0,0.0,25.0,0.0,50.0,ORIGINAL COFFEE CREAMER
WEIS QUALITY,041497418190,500.0,0.0,16.67,0.0,75.0,HAZELNUT COFFEE CREAMER
"The Hain Celestial Group, Inc.",077241500767,533.0,6.67,33.33,13.3,53.33,"SUNSPIRE, ORGANIC 65% CACAO CHIPS, BITTERSWEET CHOCOLATE"
AHOLD,8826704315,47.0,3.12,0.0,3.1,12.5,FLAVORED SYRUP
Jasper Wyman & Son,079900001219,50.0,0.71,0.0,3.6,12.86,"WYMAN'S OF MAINE, FRESH TRIPLE BERRY BLEND"
House Foods America Corporation,076371041065,9.0,0.88,0.44,1.8,2.65,"HOUSE FOODS, TOFU SHIRATAKI, FETTUCCINE"
INES ROSALES,654883112116,467.0,6.67,23.33,3.3,56.67,SWEET OLIVE OIL TORTAS
Kansha Natural Foods LLC,857961003003,11.0,0.0,0.0,0.9,3.57,INITIAL PICKLES
Pinnacle Foods Group LLC,698997809944,259.0,10.34,7.76,8.6,43.1,"UDI'S, ANCIENT GRAIN MILLET-CHIA BREAD"
"Oregon Ice Cream, LLC",072609741240,275.0,5.0,15.0,0.0,35.0,"JULIE'S ORGANIC, JULIETTE SANDWICHES"
"Ahold Usa, Inc.",688267035920,400.0,0.0,0.0,0.0,80.0,ICE CREAM CONES
Ocean Beauty Seafoods LLC,073030103508,143.0,22.22,4.76,0.0,0.0,"PINK BEAUTY, FANCY ALASKAN PINK SALMON"
"Crider's, Inc.",019722167304,80.0,12.5,1.79,0.0,5.36,"COMFORT CREEK FOODS, WHITE CHICKEN IN CHIPOTLE SAUCE"
Swagger Foods Corporation,076587390018,250.0,0.0,0.0,0.0,62.5,ONION DIP AND SOUP MIX
Swagger Foods Corporation,076587390315,375.0,6.25,3.12,0.0,37.5,NOODLE SOUP MIX WITH REAL CHICKEN BROTH
"Dollar Tree Stores, Inc.",639277787958,83.0,0.0,6.67,0.0,10.0,"RIVERTON VALLEY, DRESSING, BLUE CHEESE"
The Moran Group Incorporated,051933048409,91.0,6.06,0.0,6.1,21.21,TOMATO PASTE
"Chicken Soup for the Soul Foods, LLC",819239010427,53.0,2.04,1.22,0.8,8.57,"CHICKEN SOUP FOR THE SOUL, BEEF BARLEY SOUP"
Allied International Corp. Of Va,035549481409,541.0,2.7,32.43,2.7,59.46,"FORRELLI, HAZELNUT SPREAD"
The Moran Group Incorporated,051933015203,21.0,0.83,0.0,1.7,4.13,"WYLWOOD, ITALIAN STYLE GREEN BEANS"
"Vietti Foods Company, Inc.",071846930103,194.0,5.65,14.49,0.7,9.54,"SOUTHGATE, CORNED BEEF HASH"
The Moran Group Incorporated,051933014305,12.0,0.78,0.0,2.3,2.34,"WYLWOOD, TURNIP GREENS"
"Zwanenberg Food Group (USA), Inc.",075069153875,110.0,3.81,7.2,0.8,7.2,"BRISTOL BRAND, OLD FASHIONED MEATBALL STEW"
HORMEL TAMALES,037600311281,61.0,1.88,0.94,1.4,11.27,CHICKEN IN CHILI SAUCE
The Moran Group Incorporated,051933010109,42.0,0.61,0.0,1.2,8.48,"WYLWOOD, SLICED POTATOES"
The Moran Group Incorporated,051933048607,33.0,1.64,0.0,1.6,6.56,"DIANE'S GARDEN, TOMATO SAUCE"
The Moran Group Incorporated,051933168855,429.0,3.57,42.86,0.0,7.14,"PORTMANN'S, CREAMY CAESAR DRESSING"
The Moran Group Incorporated,051933433854,85.0,4.62,1.54,4.6,13.85,"WYLWOOD, GARBANZOS CHICK PEAS"
Milky Way Int'L Trading Corp,074027002712,190.0,22.22,11.11,0.0,1.59,"ARKONA, SKINLESS & BONELESS PINK SALMON IN WATER"
"LiDestri Foods, Inc.",077644900140,49.0,1.64,2.46,1.6,6.56,"FRANCESCO RINALDI, TRADITIONAL PIZZA SAUCE"
The Moran Group Incorporated,051933012400,62.0,3.85,0.0,3.1,10.77,"WYLWOOD, BLACKEYE PEAS"
McKee Foods Corporation,024300044168,415.0,3.77,16.98,1.9,62.26,CREME FILLED CUPCAKES
Viki's Granola,857703002462,485.0,12.12,30.3,9.1,51.52,"VIKI'S GRANOLA, MAPLE CRANBERRY"
"Bimbo Bakeries USA, Inc.",072030022123,400.0,4.0,18.0,2.0,56.0,"ENTENMANN'S, DANISH TWIST, WILD BERRY"
"Bimbo Bakeries USA, Inc.",072030020730,370.0,4.0,18.0,1.0,48.0,MUFFINS
McKee Foods Corporation,024300044748,452.0,2.74,21.92,0.0,61.64,CREME FILLED CAKES
"Bimbo Bakeries USA, Inc.",072030000701,389.0,3.33,17.78,2.2,56.67,"ENTENMANN'S, FUDGE ICED GOLDEN CAKE"
"Bimbo Bakeries USA, Inc.",072030008097,550.0,3.33,43.33,1.7,41.67,"RICH FROSTED DONUT HOLES, RICH FROSTED"
"Bimbo Bakeries USA, Inc.",072030011899,500.0,3.33,23.33,0.0,66.67,"ENTENMANN'S, MILK COOKIES, CHOCOLATE CHIP"
"Bimbo Bakeries USA, Inc.",072030019581,484.0,3.23,25.81,0.0,61.29,"ENTENMANN'S, ULTIMATE BLACK & WHITE COOKIES"
Peck Foods Corporation,024300044595,391.0,4.35,15.22,0.0,56.52,CREAM CHEESE STREUSEL CAKES
McKee Foods Corporation,024300042706,426.0,2.13,19.15,0.0,61.7,DEVIL CREMES CAKES
Franklin Foods Inc.,764717837556,205.0,13.64,11.36,0.0,9.09,"GREEN MOUNTAIN FARMS, WHIPPED CREAM CHEESE & GREEK YOGURT, ONION CHVE"
Cabo Fresh,811892028894,167.0,0.0,15.0,6.7,10.0,GUACAMOLE
"Mamma Chia, LLC",856516002287,81.0,2.02,3.03,4.0,10.1,"MAMMA CHIA, CHIA SQUEEZE, VITALITY SNACK, MANGO COCONUT"
"Mamma Chia, LLC",856516002294,71.0,2.02,2.02,4.0,10.1,"MAMMA CHIA, CHIA SQUEEZE, VITALITY SNACK, WILD RASPBERRY"
Alter Eco Americas Inc.,817670010075,550.0,5.0,40.0,10.0,52.5,"ALTER ECO, DARK CACAO ORGANIC CHOCOLATE CRUNCHY COCOA NIBS"
Alter Eco Americas Inc.,817670010068,600.0,7.5,52.5,12.5,35.0,"ALTER ECO, DARK BLACKOUT ORGANIC CHOCOLATE, BITTERSWEET COCOA"
Alter Eco Americas Inc.,817670010105,550.0,5.0,37.5,7.5,55.0,"ALTER ECO, ORGANIC CHOCOLATE, DARK QUINOA"
Alter Eco Americas Inc.,817670010051,550.0,7.5,40.0,10.0,47.5,"ALTER ECO, DARK ALMOND ORGANIC CHOCOLATE, SLOW ROASTED TOASTY NUT"
Alter Eco Americas Inc.,817670010129,525.0,5.0,35.0,5.0,60.0,"ALTER ECO, ORGANIC CHOCOLATE, DARK COCONUT TOFFEE"
Alter Eco Americas Inc.,817670010099,550.0,5.0,35.0,7.5,57.5,"ALTER ECO, DARK MINT ORGANIC CHOCOLATE, MINT"
Alter Eco Americas Inc.,817670010341,633.0,0.0,50.0,8.3,41.67,"ALTER ECO, ORGANIC BLACK TRUFFLES, DARK CHOCOLATE"
Alter Eco Americas Inc.,817670010082,525.0,5.0,35.0,7.5,57.5,"ALTER ECO, DARK TWIST ORGANIC CHOCOLATE, CRYSTALIZED ORANGE PEEL"
Alter Eco Americas Inc.,817670010044,550.0,5.0,37.5,5.0,55.0,"ALTER ECO, ORGANIC DARK VELVET CHOCOLATE"
Alter Eco Americas Inc.,817670010495,570.0,5.0,45.0,12.5,45.0,"ALTER ECO, ORGANIC CHOCOLATE, DARK SALTED BROWN BUTTER"
Alter Eco Americas Inc.,817670010488,558.0,7.5,42.5,12.5,47.5,"ALTER ECO, DEEP DARK SEA SALT ORGANIC CHOCOLATE"
Alter Eco Americas Inc.,817670010563,625.0,8.33,50.0,8.3,41.67,"ALTER ECO, ORGANIC SALTED CARAMEL TRUFFLES, DARK CHOCOLATE"
Alter Eco Americas Inc.,817670010556,625.0,0.0,50.0,8.3,41.67,"ALTER ECO, ORGANIC SEA SALT TRUFFLES"
Alter Eco Americas Inc.,817670010327,633.0,2.78,52.78,5.6,41.67,"ALTER ECO, ORGANIC BLACK TRUFFLES DARK CHOCOLATE"
Alter Eco Americas Inc.,817670010501,550.0,5.0,40.0,10.0,50.0,"ALTER ECO, DARK SALTED BURNT CARAMEL ORGANIC CHOCOLATE"
Alter Eco Americas Inc.,188244000137,372.0,13.95,5.81,7.0,67.44,"ALTER ECO, ORGANIC ROYAL PEARL QUINOA"
Alter Eco Americas Inc.,188244000120,354.0,8.33,2.08,4.2,77.08,ORGANIC KHAO DENG RUBY RED RICE
ALTER ECO,017670010297,372.0,13.95,5.81,7.0,67.44,ORGANIC ROYAL BLACK QUINOA
Alter Eco Americas Inc.,817670010587,622.0,5.56,50.0,5.6,41.67,"ALTER ECO, ORGANIC SALTED CARAMEL TRUFFLES, DARK CHOCOLATE"
Alter Eco Americas Inc.,817670010334,633.0,5.56,50.0,2.8,41.67,"ALTER ECO, ORGANIC VELVET TRUFFLES, DARK MILK CHOCOLATE"
Alter Eco Americas Inc.,817670010570,628.0,2.78,52.78,5.6,41.67,ORGANIC SEA SALT TRUFFLES
Sugar Foods Corporation,074714085912,429.0,14.29,14.29,0.0,71.43,CIABATTA CROUTONS
T. Marzetti Company,070200596108,643.0,0.0,50.0,0.0,42.86,THE ORIGINAL TEXAS TOAST CRISPY ONIONS
Caldo International Inc.,013964710427,64.0,0.71,0.0,0.7,16.43,PINEAPPLE SLICES IN LIGHT SYRUP
Citadel Enterprises Inc.,033757084528,48.0,2.4,0.0,3.2,10.4,"BEST WEST, SWEET PEAS"
Biscotti Brothers Bakery,672824122024,480.0,12.0,18.0,4.0,68.0,CHOCOLATE ALMOND BITES & BITS GOURMET BISCOTTI
Biscotti Brothers Bakery,672824122017,480.0,8.0,20.0,4.0,68.0,GOURMET BISCOTTI
Royal Food Import Corporation,832460001835,25.0,2.5,0.54,0.8,2.5,"DUCHESS, EXTRA LONG TENDER GREEN ASPARAGUS SPEARS"
"Star Snacks Co., Inc.",753519469539,464.0,14.29,28.57,7.1,46.43,"IMPERIAL NUTS, CRANBERRY BLENDS"
Mrs. Fields Famous Brands LLC,886002700014,480.0,8.0,24.0,4.0,60.0,"MRS.FIELDS, NIBBLERS FUDGE DIPPED COOKIES, PEANUT BUTTER CHIP"
Royal Food Import Corporation,832460000166,55.0,0.78,0.0,0.8,13.28,"DUCHESS, YELLOW CLING PEACH SLICES IN LIGHT SYRUP"
"George DeLallo Co., Inc.",072368426945,220.0,6.0,12.0,6.0,20.0,"DELALLO, SUN-DRIED PEPPERS, SWEET & TANGY"
Citadel Enterprises Inc.,033757084634,17.0,0.83,0.0,0.8,3.33,"BEST WEST, FRENCH STYLE GREEN BEANS"
Royal Food Import Corporation,832460000456,64.0,0.0,0.0,1.4,17.14,"DUCHESS, TROPICAL FRUITS SALAD IN LIGHT SYRUP"
Milky Way Int'L Trading Corp,074027075211,36.0,0.0,0.0,1.4,8.57,"POLAR, FRUIT COCKTAIL IN LIGHT SYRUP"
Royal Food Import Corporation,832460004553,58.0,0.0,0.0,0.7,13.87,"DUCHESS, PEAR HALVES IN LIGHT SYRUP"
DONA CARMELITA,833477520128,20.0,0.82,0.0,1.6,4.92,"DONA CARMELITA, CHOPPED TOMATOES"
Del Monte Foods Inc.,024000164739,17.0,0.83,0.0,1.7,3.31,"ARGO, FRENCH STYLE, BLUE LAKE, GREEN BEANS"
Biscotti Brothers Bakery,672824122031,480.0,12.0,18.0,8.0,68.0,GOURMET BISCOTTI BITES & BITS
PANOS Brands LLC,077646023793,133.0,0.0,0.0,6.7,33.33,"TAP'N APPLE, APPLE BUTTER SPREAD"
"Key Food Stores Co-Operative, Inc.",073296039436,533.0,6.67,26.67,6.7,66.67,"KEY FOOD, REAL SEMI-SWEET CHOCOLATE CHIPS"
"Key Food Stores Co-Operative, Inc.",073296076387,333.0,10.0,0.0,3.3,73.33,ALL PURPOSE FLOUR
"Key Food Stores Co-Operative, Inc.",073296166545,594.0,21.88,50.0,6.2,21.88,"KEY FOOD, CRUNCHY PEANUT BUTTER"
"Up Country Naturals Of Vermont, Inc.",605021009713,333.0,9.52,1.19,4.8,71.43,"MAPLE GROVE FARMS OF VERMONT, ORGANIC PANCAKE & WAFFLE MIX, HONEY"
"Key Food Stores Co-Operative, Inc.",073296002836,516.0,3.23,29.03,0.0,64.52,"KEY FOOD, HAZELNUT SPREAD"
"O-At-Ka Milk Products Co-Operative, Inc.",072109241400,333.0,7.69,7.69,0.0,56.41,"SPRING FARM, SWEETENED CONDENSED MILK"
"Key Food Stores Co-Operative, Inc.",073296166507,594.0,21.88,50.0,6.2,21.88,"KEY FOOD, CREAMY PEANUT BUTTER"
"Key Food Stores Co-Operative, Inc.",073296074529,405.0,5.41,10.81,2.7,70.27,"KEY FOOD, QUALITY, CORN MUFFIN MIX"
"Key Food Stores Co-Operative, Inc.",073296166712,543.0,25.71,34.29,5.7,37.14,"KEY FOOD, QUALITY, CREAMY PEANUT BUTTER SPREAD"
